# source	relation	cible	note
# Relations autorisees : specifies, supports, operationalizes, illustrates, limits, objects_to, contrasts_with, bridges, motivates.
idea_0103	bridges	idea_0109	Situe la generation entre ordre fixe et hasard.
idea_0016	supports	idea_0109	Formule le besoin d'un sens global de la direction.
idea_0158	specifies	idea_0109	Généralise le couplage sampling-contraintes en boucle entre proposition, résolution vérifiable et révision de la représentation.
idea_0100	supports	idea_0158	Montre que changer la représentation conjointe peut modifier la difficulté pratique de la recherche.
idea_0158	bridges	idea_0085	Situe une part de l'invention dans la formulation du problème, des invariants et des abstractions qui rendent sa solution accessible.
idea_0098	limits	idea_0158	Une solution vérifiée ne suffit pas à garantir qu'elle soit bonne ou intéressante.
idea_0153	specifies	idea_0005	Remplace la surprise brute par une irrégularité explicable depuis une régularité identifiable.
idea_0153	illustrates	idea_0103	Situe l'élément informatif entre ordre parfait et arbitraire pur.
idea_0153	limits	idea_0027	Montre que la rareté ou l'irrégularité seules ne suffisent pas sans structure explicative.
idea_0153	illustrates	idea_0110	Fournit un antécédent personnel relu sans lui attribuer rétroactivement la théorie générale.
idea_0154	specifies	idea_0010	Distribue la difficulté virtuose entre texture incorporée et décisions intentionnelles de haut niveau.
idea_0154	illustrates	idea_0109	Réalise le couplage entre sampling markovien, transformations et contraintes globales.
idea_0154	supports	idea_0016	La partition intentionnelle fournit au flux local une direction à plus longue portée.
idea_0154	illustrates	idea_0110	Fournit un cas réflexif dont les limites cognitives et évaluatives restent explicites.
idea_0067	motivates	idea_0094	Le decalage production-evaluation impose leur etude conjointe.
idea_0068	operationalizes	idea_0094	La trace complete permet d'etudier perception et creation ensemble.
idea_0018	supports	idea_0110	Fait de la construction de systemes un materiau philosophique.
idea_0088	limits	idea_0018	Un modele eprouve une hypothese sans epuiser son objet.
idea_0110	specifies	idea_0018	Separe resultats, propositions et articulations.
idea_0006	illustrates	idea_0018	Les systemes reflexifs constituent un cas de laboratoire construit.
idea_0104	specifies	idea_0006	Caracterise l'interaction par autonomie et ajustement mutuel.
idea_0007	supports	idea_0006	La creation apparait comme effet secondaire du miroir.
idea_0102	operationalizes	idea_0104	Definit un controle par preservation d'invariants semantiques.
idea_0049	specifies	idea_0010	Place la difficultuosite dans une zone de credibilite.
idea_0058	supports	idea_0010	Relie la fluidite visible au travail incorpore.
idea_0078	supports	idea_0010	Propose une resonance corporelle pour percevoir la difficulte.
idea_0089	specifies	idea_0010	Ajoute l'absorption de l'imprevu comme critere de maitrise.
idea_0090	specifies	idea_0078	L'expertise transforme sans necessairement abolir l'admiration.
idea_0057	contrasts_with	idea_0062	La glisse seductrice s'oppose a la resistance du reel.
idea_0061	illustrates	idea_0057	Le langage fournit un terrain aux impostures de fluidite.
idea_0066	objects_to	idea_0057	La democratie exige une resistance aux fantasmagories fluides.
idea_0091	specifies	idea_0061	Distingue deformation qui fait penser et deformation qui impressionne.
idea_0054	supports	idea_0075	L'apprentissage statistique prolonge les repetitions du corpus.
idea_0073	supports	idea_0040	La liquefaction transforme l'oeuvre en contenu interchangeable.
idea_0053	specifies	idea_0013	Distingue popularite sociale et importance historique.
idea_0026	motivates	idea_0074	L'homogeneisation rend necessaire la preservation de voies diverses.
idea_0116	specifies	idea_0003	Elargit la distinction entre syntaxe, sens et attention en diagnostic disciplinaire a verifier.
idea_0108	supports	idea_0116	La dissociation entre beaute et interet justifie un objet intermediaire distinct.
idea_0116	motivates	idea_0083	Le diagnostic d'un angle mort motive la constitution positive de l'interessant comme objet.
idea_0117	specifies	idea_0022	Generalise la dissociation entre valeur de l'objet et activite attentionnelle.
idea_0023	illustrates	idea_0117	Le spam montre une capture attentionnelle sans valeur positive de l'objet.
idea_0011	operationalizes	idea_0117	Les reprises, durees et abandons permettent d'observer l'attachement sans l'approuver.
idea_0093	limits	idea_0117	La neutralite descriptive doit etre suivie d'une critique des dispositifs qui fabriquent l'attention.
idea_0118	specifies	idea_0002	Distingue le gout evolutif de la dynamique propre de l'interet.
idea_0101	specifies	idea_0118	La preference identitaire illustre une divergence entre declaration et attention.
idea_0022	illustrates	idea_0118	Un objet desapprouve peut etre interessant par l'activite diagnostique qu'il provoque.
idea_0011	operationalizes	idea_0118	Separe les mesures de preference des trajectoires comportementales d'attention.
idea_0118	supports	idea_0117	La dissociation entre aimer et trouver interessant fonde la neutralite axiologique.
idea_0119	operationalizes	idea_0001	Exprime formellement que l'interet appartient a l'agencement plutot qu'aux items isoles.
idea_0039	illustrates	idea_0119	Les dimensions d'une sequence produisent leur effet par contrainte mutuelle.
idea_0084	supports	idea_0119	La relation forme-sujet interdit de sommer des valeurs propres aux seules parties.
idea_0119	bridges	idea_0118	La meme signature permet de distinguer evaluation d'interet et preference.
idea_0095	limits	idea_0119	Le contexte ne doit pas devenir un parametre libre qui rendrait l'axiomatique irrefutable.
idea_0120	bridges	idea_0085	Interprete la necessite inventee comme reconfiguration dynamique de l'espace modal.
idea_0009	illustrates	idea_0120	Le possible devient accessible sans avoir ete concevable dans l'etat anterieur.
idea_0120	supports	idea_0119	Ajoute au programme formel des proprietes de modalite non normale et de mise a jour.
idea_0004	specifies	idea_0120	L'ennui n'est pas le dual logique de l'interet mais une trajectoire temporelle distincte.
idea_0095	limits	idea_0120	La flexibilite du contexte modal ne doit pas rendre toute transformation explicable apres coup.
idea_0050	specifies	idea_0004	A competences fixes, le flow ordonne les zones ennui, interessant puis anxiete selon la difficulte.
idea_0107	specifies	idea_0050	Le presque-apprenable place l'interet sur la frontiere mobile de la zone de flow.
idea_0121	specifies	idea_0084	Definit la relation sujet-forme comme ajustement entre competences et difficulte.
idea_0050	supports	idea_0121	Fournit le modele de flow dont la zone intermediaire est identifiee a l'interessant.
idea_0107	specifies	idea_0121	Situe le presque-apprenable vers la frontiere haute de la zone interessante.
idea_0122	specifies	idea_0121	Transforme la zone de flow en equilibre metastable entre ennui et anxiete.
idea_0071	supports	idea_0122	L'apprentissage des regularites explique la derive progressive vers l'ennui.
idea_0107	specifies	idea_0122	Le presque-apprenable situe une frontiere superieure avant l'opacite et l'anxiete.
idea_0004	supports	idea_0122	La variation et la relance compensent l'epuisement attentionnel produit par la repetition.
idea_0123	specifies	idea_0121	Le maintien dans la zone de flow exige une transformation cognitive du sujet.
idea_0123	supports	idea_0122	La construction de modeles explique a la fois le maintien de l'interet et sa derive vers l'ennui.
idea_0035	illustrates	idea_0123	La mise a jour d'un systeme de croyances est un cas explicite de travail constructif.
idea_0094	supports	idea_0123	La boucle perception-creation interdit de reduire l'interet a une reception statique.
idea_0085	specifies	idea_0123	Reconstruire depuis l'objet le probleme qu'il resout est une forme du travail constructif du sujet.
idea_0085	specifies	idea_0121	La zone de flow devient l'espace ou la reconstruction du probleme reste possible et non triviale.
idea_0124	limits	idea_0123	La promesse de construction peut soutenir la fascination sans produire de transformation verifiable.
idea_0124	specifies	idea_0057	La revelation differee explique comment la glisse evite provisoirement l'ennui.
idea_0061	supports	idea_0124	La fluidite verbale permet de simuler une maitrise cognitive difficile a verifier.
idea_0022	specifies	idea_0124	Le diagnostic du faux positif peut devenir l'activite reellement interessante.
idea_0123	specifies	idea_0084	La relation sujet-forme devient construction d'une prise perceptive, explicative ou operatoire.
idea_0018	illustrates	idea_0123	Construire un systeme materialise une interpretation et rend ses limites observables.
idea_0088	limits	idea_0123	Une construction testable n'epuise pas necessairement l'objet philosophique qu'elle modele.
idea_0110	bridges	idea_0123	Relie la construction cognitive du sujet a la reconstruction philosophique d'une pratique scientifique.
idea_0071	specifies	idea_0121	Le gradient de progres localise dans la zone de flow les situations ou l'apprentissage s'ameliore.
idea_0071	operationalizes	idea_0123	La diminution de l'erreur mesure une dimension du travail constructif en cours.
idea_0071	specifies	idea_0122	Un gradient nul conduit vers l'ennui si l'erreur est basse et vers l'anxiete si elle reste elevee.
idea_0125	supports	idea_0084	L'analyse causale spinoziste des affects soutient une causalite distribuee entre la forme, le sujet, l'horizon et le moment.
idea_0125	bridges	idea_0088	Distingue l'explication causale legitime de la reduction de l'experience a un modele unique.
idea_0125	supports	idea_0117	Traiter l'interet comme un phenomene naturel permet d'en expliquer les causes avant de juger ses effets.
idea_0125	specifies	idea_0123	La construction devient une modification de la puissance de percevoir, comprendre, anticiper ou agir.
idea_0126	specifies	idea_0123	La comprehension de soi est un cas reflexif de construction d'une prise explicative et operatoire.
idea_0126	specifies	idea_0125	La recherche causale transforme la relation du sujet a l'affect qu'il cherche a expliquer.
idea_0124	limits	idea_0126	Une impression plaisante de clarte peut simuler la comprehension sans produire de prise verifiable.
idea_0127	specifies	idea_0107	Le langage transforme les constructions acquises en unites reutilisables et deplace ainsi la frontiere du presque-apprenable.
idea_0127	supports	idea_0123	Une construction conceptuelle devient une prise reutilisable pour les constructions suivantes.
idea_0127	bridges	idea_0027	Relie le progres de compression a la mise en mots de l'acquis.
idea_0079	limits	idea_0127	Un mot peut simuler une compression sans conserver de distinctions ou d'operations deployables.
idea_0128	specifies	idea_0088	Un modele peut non seulement ne pas epuiser son objet mais le remplacer par un substitut formel plus commode.
idea_0128	supports	idea_0098	La correction syntaxique illustre un objectif formel qui conserve l'admissibilite sans conserver l'interet.
idea_0128	supports	idea_0003	La formalisation de la syntaxe et du sens peut laisser hors champ la puissance attentionnelle d'une forme.
idea_0128	contrasts_with	idea_0095	Un modele de l'interessant peut echouer par reduction prematuree de sa cible ou par generalite infalsifiable.
idea_0129	specifies	idea_0116	Remplace l'absence vague par les diagnostics architectonique et canonique.
idea_0130	operationalizes	idea_0129	Teste l'ecart entre frequence lexicale et densite theorique dans un corpus delimite.
idea_0130	operationalizes	idea_0116	Donne une procedure reproductible au diagnostic d'angle mort.
idea_0131	supports	idea_0129	La dispersion des fonctions entre concepts voisins explique pourquoi la theorie a ete peu reprise.
idea_0108	illustrates	idea_0131	La beaute saisit une valeur de forme sans epuiser la reprise et la transformation attentionnelles.
idea_0005	illustrates	idea_0131	La surprise saisit l'ecart a l'attente sans suffire au maintien de l'interet.
idea_0128	specifies	idea_0131	La formalisation scientifique constitue un cas particulier de substitution par des criteres plus stables.
idea_0132	specifies	idea_0116	Identifie le residu positif de l'angle mort comme recommandation prospective.
idea_0132	contrasts_with	idea_0118	Distingue la recommandation de poursuivre l'examen d'une preference ou d'un choix.
idea_0132	motivates	idea_0123	La recommandation de poursuivre l'examen ouvre le travail constructif qui doit donner une prise.
idea_0124	limits	idea_0132	Une promesse d'examen peut sembler credible sans produire ensuite de prise verifiable.
idea_0133	specifies	idea_0123	La construction transforme le sujet et modifie ainsi les conditions de ses evaluations futures de l'interessant.
idea_0127	specifies	idea_0133	Une construction acquise devient une prise pour une nouvelle construction, y compris lorsque l'interessant est lui-meme l'objet.
idea_0133	supports	idea_0130	L'auto-application et la transformation du domaine d'exemples expliquent une partie de l'opacite theorique du predicat.
idea_0133	supports	idea_0128	Un concept qui transforme ses conditions d'application exige une formalisation reflexive, locale et revisable.
idea_0115	limits	idea_0133	La reprise recursive de l'enquete peut fabriquer l'interet qu'elle croit seulement decrire.
idea_0134	specifies	idea_0132	La recommandation de poursuivre l'examen possede une valeur heuristique mais ne valide pas les conclusions de l'enquete.
idea_0134	limits	idea_0133	L'auto-application d'une theorie explique eventuellement sa fecondite, jamais sa verite.
idea_0134	supports	idea_0028	L'interet peut orienter la recherche avant que la valeur ou la validite de son resultat soit connue.
idea_0134	contrasts_with	idea_0124	Une erreur feconde produit des prises pour sa rectification, contrairement a une promesse de profondeur sans construction controlable.
idea_0135	supports	idea_0083	Ajoute une boucle affectivo-cognitive a l'unite entre naissance d'une idee, comprehension et fascination.
idea_0135	specifies	idea_0123	Identifie l'excitation comme une energie possible du travail constructif, sans en faire un critere suffisant.
idea_0135	illustrates	idea_0133	Une idee transforme l'etat affectif et attentionnel depuis lequel d'autres idees peuvent surgir.
idea_0124	limits	idea_0135	Une excitation peut entretenir une promesse de profondeur sans produire de prise durable.
idea_0136	illustrates	idea_0123	La résolution transforme un indice opaque en prise nouvelle et contrôlable sur le mot.
idea_0136	illustrates	idea_0085	La bonne définition rend sa solution rétrospectivement évidente après avoir paru insoluble.
idea_0136	specifies	idea_0107	Les conventions apprises déterminent la frontière entre indice trivial, déplacement accessible et opacité.
idea_0136	contrasts_with	idea_0059	Distingue les opérations qui produisent la difficulté de leur réputation sociale ou culturelle.
idea_0136	bridges	idea_0113	La bonne définition perecquienne fonctionne comme une optale linguistique : une fois résolue, toute variation proche paraît affaiblir l'ajustement indice-solution.
idea_0137	specifies	idea_0123	Déplie la construction en épluchage successif où chaque prise devient l'instrument de la suivante.
idea_0137	specifies	idea_0122	Distingue l'épuisement par maîtrise, l'abandon devant une résistance sans prise et la relance par une résistance productive.
idea_0137	supports	idea_0133	Chaque couche construite peut fermer la relation ou devenir le déclencheur récursif d'une nouvelle construction.
idea_0137	contrasts_with	idea_0108	La beauté peut subsister dans un régime contemplatif après que l'épluchage intéressant s'est épuisé.
idea_0137	limits	idea_0011	Une longue attention contemplative ne suffit pas si elle ne produit aucune distinction ou prise nouvelle.
idea_0137	bridges	idea_0082	La vie de l'intéressant rencontre le stopping problem créatif : une construction peut devoir recevoir une fin avant que son objet soit épuisé.
idea_0138	specifies	idea_0123	L'énigme propose une médiation pré-problématique entre la rencontre avec l'objet et le déclenchement de la construction.
idea_0138	specifies	idea_0122	La trivialité, l'accessibilité progressive et l'opacité sans prise reformulent les deux dérives de la zone de flow.
idea_0085	illustrates	idea_0138	La solution rencontrée avant son problème fait énigme tant que les contraintes qu'elle satisfait restent à reconstruire.
idea_0136	illustrates	idea_0138	La définition de mots croisés conserve son pouvoir déclencheur jusqu'au retournement qui rend la solution évidente.
idea_0137	specifies	idea_0138	Chaque prise résout une énigme locale, puis épuise la relation ou en fait apparaître une nouvelle.
idea_0124	limits	idea_0138	La promesse de résolution et le désir de comprendre ne suffisent pas lorsqu'aucune prise vérifiable n'est produite.
idea_0139	supports	idea_0123	Garve décrit déjà une activité construite depuis des matériaux antérieurs et orientée par une lacune éprouvée.
idea_0139	supports	idea_0138	La difficulté antérieure, la lacune aperçue et l'obscurité de l'avenir fournissent un antécédent à l'énigme déclenchante.
idea_0049	specifies	idea_0139	La difficultuosité transpose la difficulté garvienne dans une zone de résistance perçue comme extrême mais encore crédible.
idea_0059	limits	idea_0139	La chalépodoxie montre qu'une réputation sociale de difficulté peut imiter l'intérêt sans épreuve ni construction réelle.
idea_0137	specifies	idea_0139	L'épluchage distingue après chaque résolution l'épuisement, l'abandon et la relance par une nouvelle résistance.
idea_0140	limits	idea_0139	Sépare le noyau descriptif de l'attention suscitée de sa réorientation morale et pratique.
idea_0140	specifies	idea_0117	Transforme la non-confusion entre intérêt et jugement moral en méthode d'analyse à deux temps.
idea_0140	specifies	idea_0123	Identifie la rupture d'indifférence, la prise et la construction comme observables antérieurs à l'évaluation normative.
idea_0093	limits	idea_0140	La suspension axiologique ne doit pas faire oublier que les dispositifs sociaux fabriquent et capturent l'attention.
idea_0141	supports	idea_0140	L'annexe de 1779 sépare explicitement la nature de l'intéressant de la question des passions qu'il serait utile de susciter.
idea_0141	specifies	idea_0139	Distingue le noyau descriptif de Garve, la modulation morale de la sympathie et la destination éducative de la poésie.
idea_0141	specifies	idea_0117	Montre que l'approbation morale peut moduler la participation sans définir toute relation intéressante.
idea_0093	limits	idea_0141	L'autonomie descriptive du phénomène ne neutralise pas la responsabilité des dispositifs qui orientent ce qui devient intéressant.
idea_0142	supports	idea_0129	La défaite de la Popularphilosophie et les captures kantienne et romantique expliquent pourquoi l'exception garvienne n'a pas fondé de catégorie canonique.
idea_0142	specifies	idea_0131	La dispersion entre concepts concurrents devient un mécanisme d'une histoire plus large de déclassement, de capture et de spécialisation disciplinaire.
idea_0128	bridges	idea_0142	La formalisation prématurée fournit une analogie méthodologique pour comprendre comment un gain de rigueur peut éliminer le phénomène initial.
idea_0142	bridges	idea_0125	Le déplacement hors de l'esthétique reconstruit l'intéressant comme mobilisation relationnelle du psychisme.
idea_0142	bridges	idea_0121	La prépotence motivationnelle et l'ennui situent l'intéressant dans une régulation fondamentale entre sous-stimulation et surcharge.
idea_0142	supports	idea_0141	La moralisation apparaît comme une capture historique possible du phénomène, non comme sa définition.
idea_0143	illustrates	idea_0142	Pachet rend plausible une survie de la philosophie du particulier dans l'essai après son déclassement dans le canon, sans établir de filiation historique avec Garve.
idea_0143	bridges	idea_0135	La boucle affectivo-cognitive entre émotion et idée devient une manière générale de conduire l'enquête depuis le particulier.
idea_0143	motivates	idea_0144	La fidélité pachetienne au particulier exige une méthode qui conceptualise sans effacer la scène concrète de naissance de la pensée.
idea_0144	operationalizes	idea_0128	La boucle entre cas et concept donne une procédure positive contre la formalisation prématurée.
idea_0144	specifies	idea_0123	Une construction mérite le nom de prise lorsqu'elle retourne au phénomène et y produit des distinctions contrôlables.
idea_0144	bridges	idea_0139	La méthode prolonge l'enquête empirique de Garve par une extraction de structure continuellement corrigée par les cas.
idea_0145	illustrates	idea_0110	Le travail sur le skipping devient un cas concret de reprise philosophique d'une pratique scientifique passée.
idea_0145	operationalizes	idea_0011	Les temps de skip agrégés transforment l'abandon observable en profil temporel analysable.
idea_0145	illustrates	idea_0086	La structure temporelle musicale produit des effets comportementaux localisables dans l'écoute.
idea_0145	illustrates	idea_0137	Le skip rend observable une interruption de la relation sans en identifier la cause subjective.
idea_0128	limits	idea_0145	Le skip est un indicateur comportemental ambigu et ne doit pas être substitué à l'intéressant.
idea_0146	illustrates	idea_0110	Le papier de 2000 devient un cas de reprise réflexive : ses résultats formels sont conservés, tandis que son objectivisme méthodologique est corrigé.
idea_0146	supports	idea_0098	L'énumération de millions d'harmonisations légales montre depuis la pratique que la correction syntaxique ne classe pas les bonnes solutions.
idea_0146	specifies	idea_0084	Les propriétés de la forme deviennent des dispositions à intéresser qui ne s'actualisent que pour un sujet doté d'une mémoire et d'attentes.
idea_0146	contrasts_with	idea_0145	La mélodie intéressante part du pôle de la forme ; le skipping part des conduites d'écoute ; leur écart motive le modèle relationnel.
idea_0147	operationalizes	idea_0006	La comparaison du couple sujet-système avec une condition sans système transforme le miroir réflexif en protocole expérimental.
idea_0147	supports	idea_0125	Le produit, l'expérience subjective et leur transformation temporelle sont observés ensemble sans assigner l'intéressant à l'objet.
idea_0147	contrasts_with	idea_0146	Le programme objectiviste part des propriétés de la forme ; l'étude de l'interaction prend explicitement le couple humain-machine comme unité.
idea_0148	illustrates	idea_0084	Le croisement entre expérience du juge et du compositeur rend visible l'horizon qui structure la rencontre avec la forme.
idea_0148	limits	idea_0118	La préférence mesurée n'est pas l'intéressant, mais sa dépendance à l'expertise avertit contre toute mesure subjective déshistoricisée.
idea_0148	supports	idea_0046	Le feedback améliore la création lorsqu'il est sélectionné par le créateur, plutôt qu'incorporé mécaniquement.
idea_0149	specifies	idea_0137	Les temps morts montrent que l'épluchage peut être discontinu et se relancer après un réajustement.
idea_0149	specifies	idea_0011	Une mesure comportementale de l'intérêt doit suivre la séquence des conduites plutôt qu'une durée ou une coupure isolée.
idea_0149	limits	idea_0145	Une interruption observable ne signifie pas nécessairement perte d'intérêt : elle peut préparer une reprise.
idea_0149	specifies	idea_0147	Le couple sujet-système se constitue aussi dans ses désajustements, ses erreurs et ses reprises.
idea_0149	limits	idea_0121	Le flow observé alterne avec d'autres états et ne décrit pas à lui seul toute la trajectoire intéressante.
idea_0150	specifies	idea_0054	Le modèle apprend des répétitions et peut en reconstituer de longues sans que son ordre fournisse une borne de copie.
idea_0150	illustrates	idea_0080	La non-copie devient une propriété distincte de la recomposition entre forme et matière.
idea_0150	supports	idea_0098	Même garantie explicitement satisfaite, la non-copie ne classe pas les sorties selon leur intérêt.
idea_0017	specifies	idea_0150	Une marche dans l'automate admissible peut encore déformer les probabilités ; la validité ne suffit pas à préserver la loi conditionnelle.
idea_0151	specifies	idea_0014	Le parcours combine une continuité locale avec des différences globales au lieu de transférer mécaniquement une préférence entre objets similaires.
idea_0151	illustrates	idea_0103	RecitalComposer rend calculable un espace situé entre répétition pure et surprise sans préparation.
idea_0151	specifies	idea_0005	Une surprise devient assimilable lorsqu'une continuité la prépare, sans que cette condition suffise à garantir l'intérêt.
idea_0151	bridges	idea_0146	Le programme objectiviste consacré à la mélodie est prolongé vers les propriétés globales d'un programme musical.
idea_0152	supports	idea_0128	Une mesure techniquement valide peut rester triviale et manquer la cible relationnelle.
idea_0152	specifies	idea_0151	Le compromis entre dimensions devient une contradiction informative entre proximité timbrale et attente textuelle.
idea_0152	illustrates	idea_0006	L'effet Aha rend observable la reconnaissance d'un écart interprétable plutôt qu'une simple performance de similarité.
idea_0155	specifies	idea_0130	Distingue la polysémie lexicale d'intérêt et les fonctions pragmatiques de l'énoncé « c'est intéressant ».
idea_0155	limits	idea_0132	Un emploi conversationnel d'« intéressant » peut marquer la réserve ou clore l'échange sans recommander sincèrement une enquête future.
idea_0155	illustrates	idea_0128	Le mot employé comme indicateur peut se substituer à la relation d'intérêt qu'il était censé mesurer.
idea_0156	specifies	idea_0096	La rareté devient une probabilité située inférieure à un seuil, distinguée du volume brut par le nombre effectif de directions explorées.
idea_0156	supports	idea_0140	Une faible qualité moyenne doit être décrite avant d'être attribuée à une faute morale ou politique du système.
idea_0156	limits	idea_0074	L'abondance n'est appauvrissante que si elle homogénéise l'exploration ou monopolise l'exposition, non parce qu'elle comprend des échecs.
idea_0105	specifies	idea_0156	Les trajectoires sélectives protègent l'attention à la réception sans interdire les essais à la production.
idea_0157	limits	idea_0156	Le coût normal de l'exploration ne justifie pas la répétition optimisée ni la domination de l'exposition.
idea_0157	specifies	idea_0074	Distingue la quantité de sorties de la diversité effective des directions explorées.
idea_0157	specifies	idea_0093	Réserve le terme manipulation aux effets causalement établis qui exploitent une asymétrie pertinente.
idea_0023	illustrates	idea_0157	Un contenu sans valeur peut devenir saillant par son agencement sans que sa médiocrité établisse une manipulation.
idea_0159	illustrates	idea_0123	L'analyse tonale compacte fournit une prise explicative et opératoire contrôlable sur une progression harmonique.
idea_0159	supports	idea_0128	Les cas d'anti-compression documentent la divergence entre l'optimum formel et les différences musicales que l'analyse devait préserver.
idea_0159	contrasts_with	idea_0071	Distingue la compacité globale d'une analyse du progrès temporel de compression chez un observateur.
idea_0159	specifies	idea_0086	L'analyse harmonique rend calculable une reconstruction séquentielle informée par un horizon musical.
idea_0159	bridges	idea_0151	Ordonne lexicographiquement continuité locale et cardinalité globale au lieu de les réduire à un compromis scalaire.
idea_0017	specifies	idea_0128	Montre qu'une procédure tractable peut substituer sa distribution effective à une cible conditionnelle pourtant correctement formalisée.
idea_0160	limits	idea_0123	L'intérêt peut soutenir une attention ouverte avant qu'une prise ou une question déterminée ne soit représentée ; la première prise peut être leur constitution.
idea_0160	specifies	idea_0132	La recommandation de poursuivre peut porter sur une fréquentation exploratoire de l'objet plutôt que sur une enquête déjà formulée.
idea_0160	supports	idea_0131	La distinction entre objet d'intérêt et question de curiosité montre que les fonctions voisines ne sont pas synonymes.
idea_0160	bridges	idea_0138	L'attention exploratoire fournit un moment pré-problématique dans lequel un aspect peut devenir énigme puis question.
idea_0160	contrasts_with	idea_0124	L'intérêt mal ajusté qualifie une erreur normative d'allocation attentionnelle ; la fascination promissive qualifie une trajectoire sans prise contrôlable.
idea_0161	specifies	idea_0084	La rencontre forme-sujet n'est pas un état privé mais le régime relationnel qui rend possibles des transitions psychiques.
idea_0161	specifies	idea_0125	Naturaliser l'intéressant revient à expliquer un opérateur relationnel dont les états affectifs et cognitifs sont des actualisations.
idea_0161	supports	idea_0131	La dispersion s'explique en partie par la redistribution des effets d'une relation entre plusieurs facultés et états subjectifs.
idea_0161	bridges	idea_0160	L'attention ouverte et la curiosité dirigée sont deux actualisations successives possibles d'une même relation intéressante.
idea_0161	limits	idea_0071	Le progrès d'apprentissage formalise une politique de transition dans un espace déjà défini, non la constitution relationnelle de l'objet intéressant.
idea_0112	illustrates	idea_0161	Les micro-émotions musicales sont des transformations locales produites dans une trajectoire d'intérêt qui ne se réduit à aucune d'elles.
idea_0162	operationalizes	idea_0161	L'analyse intérescentielle suit dans les textes les passages entre indifférence, attention, curiosité, émotion, activité et transformation.
idea_0162	bridges	idea_0084	Le cadre forme–mémoire est déployé entre personnage et monde, personnages entre eux, narrateur et histoire, texte et lecteur.
idea_0162	specifies	idea_0133	Un texte peut représenter les intérescences de ses personnages tout en produisant et transformant celle de son lecteur.
idea_0162	limits	idea_0060	L'intérescence peut inclure des médiations mimétiques sans réduire toute mobilisation à un désir triangulaire.
